name,price,length,width,handle,static_wgt,swing_wgt,twist_wgt,balance,power,pop,spin,price_q,length_q,width_q,handle_q,static_wgt_q,swing_wgt_q,twist_wgt_q,balance_q,power_q,pop_q,spin_q,embed_x,embed_y
Thrive Azul (medium) 16mm,199.99,16.3,7.7,5.5,8.2,117.3,6.65,23.9,57.2,36.0,2144,2,2,2,1,3,3,3,2,3,2,2,8.145257,3.7809682
Thrive Smoke 14mm,219.99,16.5,7.5,5.6,8.0,119.2,6.25,24.3,59.6,37.9,2167,3,3,1,2,1,3,2,3,4,4,3,10.708722,1.4668978
Thrive Surge 16mm,199.99,16.3,7.7,5.3,8.0,116.3,6.73,24.3,57.1,36.2,2215,2,2,2,1,1,2,3,3,2,2,3,8.413544,3.5419364
Vatic Saga Flash 14 14mm,129.99,16.18,7.68,5.3,7.7,109.0,6.01,24.0,58.0,36.9,2181,0,1,2,1,0,1,1,2,3,3,3,8.793883,2.6312382
Vatic Pro Bloom Prism 16mm,99.99,16.0,8.0,5.5,8.0,112.7,7.25,23.8,56.1,34.6,2175,0,0,3,1,1,1,4,1,1,0,3,5.505543,4.8493
Vatic Pro Bloom Prism 14 14mm,99.99,16.0,8.0,5.5,7.8,108.2,6.75,23.8,55.9,35.4,2103,0,0,3,1,0,0,3,1,1,1,2,5.4208837,3.8380752
Vatic Pro Bloom Saga 16mm,149.99,16.0,8.0,5.5,8.0,113.0,7.19,23.8,56.5,37.0,2176,0,0,3,1,1,1,4,1,1,3,3,6.1271067,4.328579
Vatic Pro Prism Flash 16mm,99.99,16.3,7.7,5.3,7.8,111.0,6.25,24.0,56.1,35.0,2200,0,2,2,1,0,1,2,2,1,0,3,9.019704,3.784668
Vatic Pro Saga Flash 16mm,149.99,16.3,7.7,5.3,8.3,116.8,6.67,24.0,57.9,35.4,2157,0,2,2,1,4,3,3,2,3,1,2,8.056386,3.896486
Vatic Pro Saga Flash LH 16mm,149.99,16.38,7.63,5.75,8.2,121.0,6.21,24.6,58.2,35.6,2186,0,2,2,2,3,4,2,4,4,1,3,11.577788,2.8233356
Vatic Pro Saga V7 16mm,149.99,16.5,7.5,5.3,8.1,119.8,6.59,24.6,58.2,35.3,2209,0,3,1,1,2,3,3,4,4,1,3,11.79387,2.7291133
Vatic Pro V7 16mm,139.99,16.5,7.5,5.3,8.2,124.0,6.68,23.2,57.4,35.1,1981,0,3,1,1,3,4,3,0,3,0,1,11.913409,4.392128
Versix Vector 15mm,129.99,16.5,7.5,6.0,8.4,122.2,6.93,24.3,58.1,36.7,2103,0,3,1,2,4,4,4,3,4,3,2,11.297166,2.8428614
