name,price,length,width,handle,static_wgt,swing_wgt,twist_wgt,balance,power,pop,spin,price_q,length_q,width_q,handle_q,static_wgt_q,swing_wgt_q,twist_wgt_q,balance_q,power_q,pop_q,spin_q,embed_x,embed_y
Pickleball Apes Pulse V 16mm,199.99,15.8,8.1,5.5,8.2,112.5,7.47,23.8,57.4,37.0,2160,2,0,4,1,3,1,4,1,3,3,3,6.205162,4.5972023
Pickleball Apes Pulse X 16mm,199.99,16.5,7.5,5.5,8.1,122.4,6.2,24.8,57.4,36.6,2184,2,3,1,1,2,4,2,4,3,3,3,11.553283,2.3655174
PIKKL Hurricane Pro 14mm,159.99,16.0,8.0,5.5,7.8,107.7,6.6,23.6,55.9,36.1,2280,1,0,3,1,0,0,3,1,1,2,4,5.453155,3.8589458
PIKKL Hurricane Pro 16mm,159.99,16.0,8.0,5.5,7.8,108.6,6.79,23.9,55.7,35.9,2404,1,0,3,1,0,0,3,2,0,2,4,5.4634037,3.893501
PIKKL Vantage Pro 16mm,139.99,16.25,7.5,5.35,8.4,121.2,6.64,23.9,56.7,35.5,2260,0,1,1,1,4,4,3,2,2,1,4,8.312733,4.087351
PIKKL Vantage Pro 14mm,139.99,16.25,7.5,5.35,7.9,111.5,6.19,23.8,56.5,35.7,2367,0,1,1,1,1,1,2,1,1,1,4,8.995652,3.6417806
ProDrive Drive Carbon 19mm,199.0,16.4,7.6,5.3,8.6,130.0,7.24,24.5,56.9,34.1,1870,2,2,2,1,4,4,4,4,2,0,0,12.29495,3.8911686
ProDrive Encounter 16mm,219.0,16.5,7.3,5.5,8.2,119.2,5.49,24.1,58.0,35.2,2020,3,3,0,1,3,3,0,3,3,0,1,10.847096,3.436221
ProDrive Ghost 16mm,189.0,16.4,7.6,5.3,8.0,117.0,6.73,23.9,56.9,35.8,1817,2,2,2,1,1,3,3,2,2,1,0,11.4932375,4.708945
ProKennex Black Ace Pro 10mm,250.0,15.8,7.6,5.3,8.1,105.0,6.17,22.6,56.8,38.1,1848,3,0,2,1,2,0,1,0,2,4,0,5.198306,3.3537548
PROLITE K2 Power 14mm,180.0,15.7,8.1,4.75,7.8,101.0,6.4,22.7,55.3,34.3,1628,2,0,4,0,0,0,2,0,0,0,0,4.452948,4.032591
Proton Series 3-Project Flamingo 15mm,280.0,16.54,7.52,5.38,8.0,119.4,6.51,24.4,58.1,37.4,2222,4,4,2,1,1,3,2,3,4,4,3,10.947141,1.7969416
Proton Series Four 15mm,300.0,16.5,7.5,5.5,8.0,116.4,5.61,24.1,57.7,36.2,2114,4,3,1,1,1,3,0,3,3,2,2,10.149335,2.5077481
Proton Series One-Type A 15mm,280.0,15.75,8.25,5.25,8.4,119.1,7.2,23.9,56.1,35.0,2276,4,0,4,0,4,3,4,2,1,0,4,5.831602,4.73497
Proton Series One-Type A 11mm,280.0,15.75,8.25,5.25,8.1,114.5,6.75,24.1,56.1,36.1,2112,4,0,4,0,2,2,3,3,1,2,2,5.731565,4.406401
Proton Series One-Type B 15mm,280.0,16.75,7.25,5.25,8.8,129.6,6.55,24.3,57.4,34.9,2336,4,4,0,0,4,4,3,3,3,0,4,12.199401,3.1104286
Proton Series Three 15mm,240.0,16.5,7.5,5.38,8.2,122.5,6.72,24.5,57.4,34.4,1755,3,3,1,1,3,4,3,4,3,0,0,11.86454,4.6181235
Proton Series Two 16mm,220.0,16.5,7.5,5.38,8.3,120.6,5.98,24.2,54.4,35.1,1818,3,3,1,1,4,3,1,3,0,0,0,11.375465,4.943537
ProXR Connor Garnett 14mm,209.99,16.5,7.5,6.0,8.2,110.0,5.52,22.5,56.4,35.7,2163,3,3,1,2,3,1,0,0,1,1,3,10.193186,3.1417475
ProXR Signature 16mm,209.99,16.46,7.5,6.0,8.4,116.3,5.77,23.2,57.1,35.9,2264,3,2,1,2,4,2,0,0,2,2,4,10.509746,2.972421
ProXR Sweet Spot 16mm,209.99,15.98,8.0,5.25,8.4,115.6,6.98,23.5,55.5,36.0,2169,3,0,3,0,4,2,4,1,0,2,3,6.0394263,4.5012136
"ProXR Zane Navratil ""The Standard"" 14mm",209.99,16.0,8.0,5.25,8.2,107.0,6.92,22.7,55.9,35.4,2260,3,0,3,0,3,0,4,0,1,1,4,5.265737,4.3219247
Reload RLD 1-16 16mm,200.0,16.5,7.5,5.5,8.3,125.7,6.54,24.6,56.1,35.6,2108,2,3,1,1,4,4,3,4,1,1,2,12.075872,3.46382
Revolin Revo Pro Pure Hybrid 16mm,219.99,15.91,7.8,5.25,8.1,104.5,6.44,22.7,57.7,34.8,2189,3,0,3,0,2,0,2,0,3,0,3,5.196205,3.7715364
Revolin Revo Pro Reach Hybrid 16mm,219.99,16.42,7.3,6.0,8.0,107.8,5.54,23.0,58.2,34.5,2034,3,2,0,2,1,0,0,0,4,0,1,10.181182,3.179471
Rokne Republic 2.16 Standard 16mm,209.99,16.25,7.5,5.5,8.4,126.2,6.5,24.6,56.0,34.9,1176,3,1,1,1,4,4,2,4,1,0,0,11.788342,4.7186456
Ronbus EV1.16 16mm,180.0,16.4,7.4,5.25,8.1,117.0,5.94,23.8,62.1,36.3,1148,2,2,0,0,2,3,1,1,4,2,0,11.552393,4.567983
Ronbus NOVA R1 16mm,180.0,16.5,7.5,5.5,7.7,115.0,5.72,24.5,56.5,35.5,2089,2,3,1,1,0,2,0,4,1,1,1,10.371249,3.6650643
Ronbus NOVA R2 16mm,180.0,16.0,8.0,5.5,7.9,108.4,6.58,23.6,56.4,36.1,2127,2,0,3,1,1,0,3,1,1,2,2,5.591965,3.8181114
Ronbus NOVA R3 16mm,180.0,16.5,7.5,5.5,8.1,121.0,6.1,24.4,56.7,35.5,2068,2,3,1,1,2,4,1,3,2,1,1,11.283364,3.7500148
Ronbus Pulsar FX.R1 16mm,180.0,16.5,7.5,5.5,8.2,121.2,6.21,24.4,57.3,36.1,2264,2,3,1,1,3,4,2,3,3,2,4,11.758399,2.5285106
Ronbus Pulsar FX.R2 16mm,180.0,16.0,8.0,5.5,8.2,114.1,7.09,23.4,55.9,37.0,2177,2,0,3,1,3,2,4,0,1,3,3,6.1813135,4.366129
Ronbus Pulsar FX.R3 16mm,180.0,16.5,7.5,5.5,8.1,121.8,6.21,24.6,56.9,36.6,2230,2,3,1,1,2,4,2,4,2,3,3,11.579587,2.3849351
Ronbus Pulsar R1 16mm,180.0,16.5,7.5,5.5,7.9,116.0,6.21,23.9,56.0,35.8,1915,2,3,1,1,1,2,2,2,1,1,0,11.028843,4.525331
Ronbus Pulsar R3 16mm,180.0,16.5,7.5,5.5,8.3,125.0,6.47,23.8,56.3,35.6,1970,2,3,1,1,4,4,2,1,1,1,0,11.9709635,4.181441
